Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
"{'y': 0.44887325, 'x': 0.55227834, 'confidence': 0.03644078}","{'y': 0.4452015, 'x': 0.5524961, 'confidence': 0.03354845}","{'y': 0.44602075, 'x': 0.5481173, 'confidence': 0.031672485}","{'y': 0.45411152, 'x': 0.5533694, 'confidence': 0.026101954}","{'y': 0.4544617, 'x': 0.5421035, 'confidence': 0.031569228}","{'y': 0.49764788, 'x': 0.5505967, 'confidence': 0.024612542}","{'y': 0.53613603, 'x': 0.50143814, 'confidence': 0.03612122}","{'y': 0.5579283, 'x': 0.5828287, 'confidence': 0.020436363}","{'y': 0.5406842, 'x': 0.51575714, 'confidence': 0.020292534}","{'y': 0.7841843, 'x': 0.89976275, 'confidence': 0.12828527}","{'y': 0.5470845, 'x': 0.51821536, 'confidence': 0.01868055}","{'y': 0.60248804, 'x': 0.57017714, 'confidence': 0.022131832}","{'y': 0.60452753, 'x': 0.52482367, 'confidence': 0.018067138}","{'y': 0.62566054, 'x': 0.55585504, 'confidence': 0.012251439}","{'y': 0.63189095, 'x': 0.53262043, 'confidence': 0.01069667}","{'y': 0.8030762, 'x': 0.8942991, 'confidence': 0.07873752}","{'y': 0.93742764, 'x': 0.06712649, 'confidence': 0.11917051}"
"{'y': 0.3703755, 'x': 0.97725356, 'confidence': 0.11966397}","{'y': 0.36889693, 'x': 0.9790224, 'confidence': 0.10056617}","{'y': 0.36904654, 'x': 0.9776783, 'confidence': 0.10033929}","{'y': 0.3679804, 'x': 0.980635, 'confidence': 0.13305931}","{'y': 0.3675798, 'x': 0.9813611, 'confidence': 0.12972322}","{'y': 0.39972237, 'x': 0.98066574, 'confidence': 0.17220704}","{'y': 0.39159054, 'x': 0.98290026, 'confidence': 0.15723445}","{'y': 0.4096215, 'x': 0.981242, 'confidence': 0.17744648}","{'y': 0.40856224, 'x': 0.9715298, 'confidence': 0.1423823}","{'y': 0.41124693, 'x': 0.9791953, 'confidence': 0.12713489}","{'y': 0.41421264, 'x': 0.9784735, 'confidence': 0.13374221}","{'y': 0.45548767, 'x': 0.99004257, 'confidence': 0.1604702}","{'y': 0.4588215, 'x': 0.9914419, 'confidence': 0.158976}","{'y': 0.48626736, 'x': 0.98095644, 'confidence': 0.10781278}","{'y': 0.48773187, 'x': 0.98463356, 'confidence': 0.11537606}","{'y': 0.5045181, 'x': 0.9839144, 'confidence': 0.064582124}","{'y': 0.5201261, 'x': 0.98979646, 'confidence': 0.07424995}"
"{'y': 0.90373844, 'x': 0.77750635, 'confidence': 0.13761581}","{'y': 0.8982401, 'x': 0.7769905, 'confidence': 0.10545901}","{'y': 0.90038514, 'x': 0.7755006, 'confidence': 0.11804017}","{'y': 0.89735794, 'x': 0.77520746, 'confidence': 0.12760106}","{'y': 0.90072984, 'x': 0.7749883, 'confidence': 0.14190996}","{'y': 0.92507595, 'x': 0.7762687, 'confidence': 0.17500171}","{'y': 0.93241304, 'x': 0.78680056, 'confidence': 0.20056298}","{'y': 0.9510422, 'x': 0.78446645, 'confidence': 0.18974544}","{'y': 0.9485558, 'x': 0.78817725, 'confidence': 0.21459055}","{'y': 0.9535941, 'x': 0.7961826, 'confidence': 0.1618689}","{'y': 0.9541562, 'x': 0.7898023, 'confidence': 0.13277769}","{'y': 0.9744866, 'x': 0.8045443, 'confidence': 0.16590492}","{'y': 0.97405154, 'x': 0.8045654, 'confidence': 0.17313759}","{'y': 0.9853889, 'x': 0.7844532, 'confidence': 0.15381297}","{'y': 0.9804416, 'x': 0.7933258, 'confidence': 0.19379394}","{'y': 0.9837228, 'x': 0.8009737, 'confidence': 0.10175029}","{'y': 0.9825734, 'x': 0.80630046, 'confidence': 0.10916669}"
"{'y': 0.502622, 'x': 0.5468104, 'confidence': 0.039975427}","{'y': 0.48215044, 'x': 0.55057025, 'confidence': 0.0439914}","{'y': 0.48366302, 'x': 0.5534779, 'confidence': 0.046122223}","{'y': 0.48912534, 'x': 0.54922915, 'confidence': 0.04890222}","{'y': 0.49022907, 'x': 0.5555651, 'confidence': 0.05519909}","{'y': 0.5369342, 'x': 0.5417839, 'confidence': 0.073078535}","{'y': 0.5372169, 'x': 0.5504655, 'confidence': 0.07198687}","{'y': 0.5854436, 'x': 0.5395092, 'confidence': 0.07237393}","{'y': 0.5670128, 'x': 0.5498727, 'confidence': 0.07892106}","{'y': 0.6094479, 'x': 0.54951745, 'confidence': 0.05510396}","{'y': 0.60218656, 'x': 0.5429108, 'confidence': 0.076795675}","{'y': 0.6205892, 'x': 0.5429058, 'confidence': 0.09574812}","{'y': 0.61873454, 'x': 0.55924064, 'confidence': 0.08616877}","{'y': 0.67334104, 'x': 0.5433456, 'confidence': 0.06638843}","{'y': 0.6567039, 'x': 0.5451805, 'confidence': 0.06808311}","{'y': 0.7589799, 'x': 0.51959914, 'confidence': 0.06128739}","{'y': 0.7586889, 'x': 0.5238363, 'confidence': 0.059742495}"
"{'y': 0.719617, 'x': 0.975279, 'confidence': 0.3248047}","{'y': 0.7141413, 'x': 0.97622395, 'confidence': 0.26880306}","{'y': 0.71585906, 'x': 0.97140336, 'confidence': 0.2995099}","{'y': 0.7145015, 'x': 0.97930866, 'confidence': 0.2866607}","{'y': 0.7172983, 'x': 0.9613509, 'confidence': 0.26356938}","{'y': 0.74997413, 'x': 0.98068446, 'confidence': 0.22579494}","{'y': 0.74983907, 'x': 0.96052176, 'confidence': 0.24408223}","{'y': 0.7960367, 'x': 0.97608984, 'confidence': 0.1781439}","{'y': 0.79851043, 'x': 0.9405148, 'confidence': 0.19892521}","{'y': 0.8155927, 'x': 0.9740393, 'confidence': 0.14186102}","{'y': 0.8163459, 'x': 0.9503166, 'confidence': 0.13923557}","{'y': 0.8397146, 'x': 0.9743593, 'confidence': 0.24206188}","{'y': 0.83733845, 'x': 0.95895517, 'confidence': 0.23797484}","{'y': 0.903874, 'x': 0.9718162, 'confidence': 0.16734207}","{'y': 0.899806, 'x': 0.9612893, 'confidence': 0.14757487}","{'y': 0.9758535, 'x': 0.9709299, 'confidence': 0.111682124}","{'y': 0.93421596, 'x': 0.9459678, 'confidence': 0.20661007}"
"{'y': 0.6664375, 'x': 0.03776182, 'confidence': 0.049892657}","{'y': 0.6598348, 'x': 0.025719022, 'confidence': 0.039205175}","{'y': 0.6608495, 'x': 0.02690003, 'confidence': 0.033047587}","{'y': 0.6584024, 'x': 0.019600015, 'confidence': 0.04874052}","{'y': 0.6600412, 'x': 0.026436271, 'confidence': 0.06172471}","{'y': 0.71479553, 'x': 0.022996793, 'confidence': 0.09460161}","{'y': 0.71239394, 'x': 0.030939486, 'confidence': 0.10148741}","{'y': 0.74877656, 'x': 0.044581696, 'confidence': 0.10775947}","{'y': 0.7475396, 'x': 0.04546348, 'confidence': 0.12174485}","{'y': 0.8003996, 'x': 0.08687618, 'confidence': 0.13325658}","{'y': 0.80179304, 'x': 0.08507115, 'confidence': 0.121557444}","{'y': 0.84591174, 'x': 0.06259355, 'confidence': 0.16031931}","{'y': 0.8696538, 'x': 0.061163574, 'confidence': 0.1303434}","{'y': 0.86495036, 'x': 0.04736809, 'confidence': 0.09602015}","{'y': 0.84557605, 'x': 0.11630096, 'confidence': 0.06652181}","{'y': 0.94722825, 'x': 0.08847544, 'confidence': 0.048958257}","{'y': 0.9447585, 'x': 0.1284302, 'confidence': 0.059225913}"
"{'y': 0.75483865, 'x': 0.7868202, 'confidence': 0.17381312}","{'y': 0.75018394, 'x': 0.7866282, 'confidence': 0.15182501}","{'y': 0.75083286, 'x': 0.78593844, 'confidence': 0.143647}","{'y': 0.75187826, 'x': 0.78670627, 'confidence': 0.18708485}","{'y': 0.75236475, 'x': 0.7862226, 'confidence': 0.14372513}","{'y': 0.7801755, 'x': 0.7845465, 'confidence': 0.21192753}","{'y': 0.77897877, 'x': 0.78831327, 'confidence': 0.21231063}","{'y': 0.8156985, 'x': 0.78761923, 'confidence': 0.23027238}","{'y': 0.8143094, 'x': 0.7880336, 'confidence': 0.1893493}","{'y': 0.8294763, 'x': 0.7941366, 'confidence': 0.16400054}","{'y': 0.8266012, 'x': 0.79359496, 'confidence': 0.1411495}","{'y': 0.8463188, 'x': 0.78186923, 'confidence': 0.2511597}","{'y': 0.84591585, 'x': 0.7807758, 'confidence': 0.23051076}","{'y': 0.87805486, 'x': 0.7804504, 'confidence': 0.2224838}","{'y': 0.8795417, 'x': 0.7838293, 'confidence': 0.23481022}","{'y': 0.91679114, 'x': 0.7857912, 'confidence': 0.14342374}","{'y': 0.91596454, 'x': 0.78756, 'confidence': 0.15026776}"
"{'y': 0.6437938, 'x': 0.9259701, 'confidence': 0.22177313}","{'y': 0.630765, 'x': 0.9365344, 'confidence': 0.17196746}","{'y': 0.6309595, 'x': 0.9240736, 'confidence': 0.16414113}","{'y': 0.6309789, 'x': 0.93658495, 'confidence': 0.21049297}","{'y': 0.631449, 'x': 0.904087, 'confidence': 0.17332494}","{'y': 0.6745597, 'x': 0.93584836, 'confidence': 0.20602274}","{'y': 0.6767031, 'x': 0.9167401, 'confidence': 0.26477686}","{'y': 0.724459, 'x': 0.94459474, 'confidence': 0.18340768}","{'y': 0.7180745, 'x': 0.92522794, 'confidence': 0.13235159}","{'y': 0.73689735, 'x': 0.94781035, 'confidence': 0.15313873}","{'y': 0.73785233, 'x': 0.9402168, 'confidence': 0.14389127}","{'y': 0.76176494, 'x': 0.9516323, 'confidence': 0.18422724}","{'y': 0.7642699, 'x': 0.9465402, 'confidence': 0.1846445}","{'y': 0.803561, 'x': 0.96750855, 'confidence': 0.11610311}","{'y': 0.8066475, 'x': 0.96550965, 'confidence': 0.12546013}","{'y': 0.83729374, 'x': 0.9724961, 'confidence': 0.093855225}","{'y': 0.8337853, 'x': 0.9681551, 'confidence': 0.108019054}"
"{'y': 0.75339013, 'x': 0.14967978, 'confidence': 0.24305962}","{'y': 0.73679495, 'x': 0.15195483, 'confidence': 0.26397797}","{'y': 0.7392453, 'x': 0.14899439, 'confidence': 0.2259459}","{'y': 0.74037266, 'x': 0.16873534, 'confidence': 0.25297254}","{'y': 0.7544844, 'x': 0.13739628, 'confidence': 0.1831487}","{'y': 0.8063812, 'x': 0.1847864, 'confidence': 0.20500433}","{'y': 0.8194876, 'x': 0.13246089, 'confidence': 0.2234141}","{'y': 0.88260466, 'x': 0.20010725, 'confidence': 0.14767784}","{'y': 0.88567245, 'x': 0.15093468, 'confidence': 0.10566037}","{'y': 0.8256807, 'x': 0.21614233, 'confidence': 0.13139707}","{'y': 0.8936043, 'x': 0.053083852, 'confidence': 0.21742897}","{'y': 0.9587349, 'x': 0.198753, 'confidence': 0.15603395}","{'y': 0.9562055, 'x': 0.17193171, 'confidence': 0.15871121}","{'y': 0.97206336, 'x': 0.123204686, 'confidence': 0.09371037}","{'y': 0.9911426, 'x': 0.1331198, 'confidence': 0.11823844}","{'y': 0.9048062, 'x': 0.057096973, 'confidence': 0.08041391}","{'y': 0.96661425, 'x': 0.14643215, 'confidence': 0.06804393}"
"{'y': 0.83061624, 'x': 0.22373168, 'confidence': 0.19456995}","{'y': 0.82589245, 'x': 0.2239525, 'confidence': 0.17985101}","{'y': 0.8277878, 'x': 0.22171229, 'confidence': 0.18135573}","{'y': 0.82754946, 'x': 0.22696306, 'confidence': 0.2098225}","{'y': 0.83065337, 'x': 0.21859169, 'confidence': 0.17005089}","{'y': 0.85739815, 'x': 0.2196885, 'confidence': 0.23426892}","{'y': 0.8571037, 'x': 0.21908817, 'confidence': 0.23803939}","{'y': 0.8798312, 'x': 0.20869355, 'confidence': 0.21361749}","{'y': 0.87825465, 'x': 0.20392896, 'confidence': 0.17894886}","{'y': 0.91708964, 'x': 0.20683885, 'confidence': 0.1491639}","{'y': 0.91649467, 'x': 0.20145397, 'confidence': 0.121408895}","{'y': 0.92153406, 'x': 0.21103239, 'confidence': 0.18749076}","{'y': 0.92226, 'x': 0.20726202, 'confidence': 0.18851413}","{'y': 0.96545774, 'x': 0.20017596, 'confidence': 0.13831449}","{'y': 0.9657313, 'x': 0.19538839, 'confidence': 0.14077099}","{'y': 0.97897637, 'x': 0.22481437, 'confidence': 0.079235755}","{'y': 0.9682186, 'x': 0.20433132, 'confidence': 0.11351263}"
"{'y': 0.51042634, 'x': 0.49380708, 'confidence': 0.055271175}","{'y': 0.51163507, 'x': 0.4829723, 'confidence': 0.04290197}","{'y': 0.50900424, 'x': 0.49125835, 'confidence': 0.04397854}","{'y': 0.8363959, 'x': 0.24082775, 'confidence': 0.29069465}","{'y': 0.5176245, 'x': 0.47891074, 'confidence': 0.039841015}","{'y': 0.52303576, 'x': 0.5009969, 'confidence': 0.03873363}","{'y': 0.5249861, 'x': 0.5009215, 'confidence': 0.039365057}","{'y': 0.8769867, 'x': 0.2437668, 'confidence': 0.22888814}","{'y': 0.8852728, 'x': 0.23176688, 'confidence': 0.21705487}","{'y': 0.54344785, 'x': 0.55014604, 'confidence': 0.026203442}","{'y': 0.53700215, 'x': 0.49806553, 'confidence': 0.022598717}","{'y': 0.6988514, 'x': 0.9165398, 'confidence': 0.23295693}","{'y': 0.6997275, 'x': 0.92449725, 'confidence': 0.23955053}","{'y': 0.58752203, 'x': 0.54034805, 'confidence': 0.024895608}","{'y': 0.59086746, 'x': 0.5314711, 'confidence': 0.022494014}","{'y': 0.6042994, 'x': 0.5335485, 'confidence': 0.016758777}","{'y': 0.9701577, 'x': 0.21671574, 'confidence': 0.1696524}"
"{'y': 0.5956217, 'x': 0.14506464, 'confidence': 0.23828503}","{'y': 0.59169054, 'x': 0.1427187, 'confidence': 0.19294333}","{'y': 0.5935652, 'x': 0.14259289, 'confidence': 0.20954816}","{'y': 0.59325004, 'x': 0.14339738, 'confidence': 0.20590995}","{'y': 0.5962915, 'x': 0.1411777, 'confidence': 0.17382899}","{'y': 0.6362562, 'x': 0.1764343, 'confidence': 0.1651325}","{'y': 0.64801437, 'x': 0.05170228, 'confidence': 0.21812768}","{'y': 0.35660797, 'x': 0.43947828, 'confidence': 0.033317637}","{'y': 0.13966073, 'x': 0.520929, 'confidence': 0.09380718}","{'y': 0.12063623, 'x': 0.52961946, 'confidence': 0.14406326}","{'y': 0.119050376, 'x': 0.5389822, 'confidence': 0.11736231}","{'y': 0.44620624, 'x': 0.7353262, 'confidence': 0.19326705}","{'y': 0.45390674, 'x': 0.7969303, 'confidence': 0.16685128}","{'y': 0.67341214, 'x': 0.6891492, 'confidence': 0.045721184}","{'y': 0.705935, 'x': 0.829354, 'confidence': 0.13754426}","{'y': 0.78959477, 'x': 0.617378, 'confidence': 0.082158245}","{'y': 0.9578755, 'x': 0.7709655, 'confidence': 0.23911402}"
"{'y': 0.8043377, 'x': 0.049274508, 'confidence': 0.13250935}","{'y': 0.7979014, 'x': 0.050501622, 'confidence': 0.12586512}","{'y': 0.79816616, 'x': 0.04519239, 'confidence': 0.12811494}","{'y': 0.7963103, 'x': 0.05064489, 'confidence': 0.1585664}","{'y': 0.7947753, 'x': 0.040483657, 'confidence': 0.12867206}","{'y': 0.82587975, 'x': 0.052190755, 'confidence': 0.17313442}","{'y': 0.8222283, 'x': 0.046011407, 'confidence': 0.23934355}","{'y': 0.84893245, 'x': 0.06804236, 'confidence': 0.11618047}","{'y': 0.8277091, 'x': 0.049221676, 'confidence': 0.12080554}","{'y': 0.86132544, 'x': 0.12004345, 'confidence': 0.054931026}","{'y': 0.84359324, 'x': 0.054260164, 'confidence': 0.090557866}","{'y': 0.89094245, 'x': 0.046368524, 'confidence': 0.119931795}","{'y': 0.8888151, 'x': 0.035137113, 'confidence': 0.09507823}","{'y': 0.92487675, 'x': 0.03710369, 'confidence': 0.082830355}","{'y': 0.92715377, 'x': 0.061544593, 'confidence': 0.09496072}","{'y': 0.9567391, 'x': 0.04373269, 'confidence': 0.07506736}","{'y': 0.9569419, 'x': 0.06859664, 'confidence': 0.10614204}"
"{'y': 0.6056596, 'x': 0.9530681, 'confidence': 0.20040286}","{'y': 0.5999848, 'x': 0.9537973, 'confidence': 0.19866194}","{'y': 0.601146, 'x': 0.95372385, 'confidence': 0.19308218}","{'y': 0.59347576, 'x': 0.94985455, 'confidence': 0.20979922}","{'y': 0.5863972, 'x': 0.9510219, 'confidence': 0.18011932}","{'y': 0.6177449, 'x': 0.9432123, 'confidence': 0.25256497}","{'y': 0.6102454, 'x': 0.9415823, 'confidence': 0.287259}","{'y': 0.67524207, 'x': 0.94429576, 'confidence': 0.23993455}","{'y': 0.6745147, 'x': 0.9391254, 'confidence': 0.23239481}","{'y': 0.6978407, 'x': 0.94333446, 'confidence': 0.14502372}","{'y': 0.6964238, 'x': 0.9395508, 'confidence': 0.15486197}","{'y': 0.6974673, 'x': 0.9269362, 'confidence': 0.23915718}","{'y': 0.69766617, 'x': 0.92369515, 'confidence': 0.24585886}","{'y': 0.7519205, 'x': 0.9592723, 'confidence': 0.20068006}","{'y': 0.7541259, 'x': 0.9532929, 'confidence': 0.21902823}","{'y': 0.8209175, 'x': 0.9599041, 'confidence': 0.25474095}","{'y': 0.8159105, 'x': 0.9626539, 'confidence': 0.19306931}"
"{'y': 0.76820964, 'x': 0.40477756, 'confidence': 0.16180009}","{'y': 0.764419, 'x': 0.4060981, 'confidence': 0.14336409}","{'y': 0.76595175, 'x': 0.40432417, 'confidence': 0.15221821}","{'y': 0.76415443, 'x': 0.41018736, 'confidence': 0.1763173}","{'y': 0.7659455, 'x': 0.4055901, 'confidence': 0.1709352}","{'y': 0.789186, 'x': 0.4073336, 'confidence': 0.20021191}","{'y': 0.7895541, 'x': 0.4034429, 'confidence': 0.219047}","{'y': 0.81011677, 'x': 0.41087696, 'confidence': 0.15767099}","{'y': 0.8109379, 'x': 0.40548182, 'confidence': 0.1672214}","{'y': 0.824876, 'x': 0.40167195, 'confidence': 0.12405039}","{'y': 0.8291416, 'x': 0.3880503, 'confidence': 0.12370058}","{'y': 0.83508795, 'x': 0.40691757, 'confidence': 0.13330263}","{'y': 0.8339945, 'x': 0.40304562, 'confidence': 0.13543336}","{'y': 0.85838693, 'x': 0.38233015, 'confidence': 0.12797365}","{'y': 0.85880804, 'x': 0.38013723, 'confidence': 0.13212213}","{'y': 0.8960367, 'x': 0.38192406, 'confidence': 0.07189168}","{'y': 0.897217, 'x': 0.36880383, 'confidence': 0.08091371}"
"{'y': 0.6131849, 'x': 0.058357473, 'confidence': 0.21000111}","{'y': 0.5993976, 'x': 0.057494458, 'confidence': 0.27815685}","{'y': 0.602893, 'x': 0.055842374, 'confidence': 0.24847211}","{'y': 0.5923762, 'x': 0.06000084, 'confidence': 0.23817451}","{'y': 0.6013953, 'x': 0.042452607, 'confidence': 0.24486198}","{'y': 0.606608, 'x': 0.08227534, 'confidence': 0.21202959}","{'y': 0.63273, 'x': 0.049519304, 'confidence': 0.27352154}","{'y': 0.6394143, 'x': 0.11102251, 'confidence': 0.12835722}","{'y': 0.6598305, 'x': 0.07680216, 'confidence': 0.09485027}","{'y': 0.64080733, 'x': 0.1632327, 'confidence': 0.20963311}","{'y': 0.641067, 'x': 0.14454697, 'confidence': 0.14346573}","{'y': 0.64855486, 'x': 0.11560784, 'confidence': 0.15224965}","{'y': 0.67108065, 'x': 0.10883064, 'confidence': 0.1316482}","{'y': 0.6696238, 'x': 0.08477884, 'confidence': 0.12028053}","{'y': 0.6917383, 'x': 0.11150252, 'confidence': 0.07980183}","{'y': 0.6787536, 'x': 0.17770904, 'confidence': 0.08177248}","{'y': 0.7555882, 'x': 0.044936348, 'confidence': 0.16721861}"
"{'y': 0.7160816, 'x': 0.08590083, 'confidence': 0.20198369}","{'y': 0.71205926, 'x': 0.07420963, 'confidence': 0.2893361}","{'y': 0.7133809, 'x': 0.06876331, 'confidence': 0.2627534}","{'y': 0.71185786, 'x': 0.0998119, 'confidence': 0.21238658}","{'y': 0.7164981, 'x': 0.07129674, 'confidence': 0.24405266}","{'y': 0.736792, 'x': 0.10516742, 'confidence': 0.24019524}","{'y': 0.74455994, 'x': 0.07561173, 'confidence': 0.25598878}","{'y': 0.78674066, 'x': 0.09507645, 'confidence': 0.119584784}","{'y': 0.769917, 'x': 0.08920437, 'confidence': 0.09656941}","{'y': 0.818348, 'x': 0.04680616, 'confidence': 0.16951466}","{'y': 0.76605844, 'x': 0.09265239, 'confidence': 0.08380679}","{'y': 0.83297426, 'x': 0.10624835, 'confidence': 0.12682506}","{'y': 0.8331054, 'x': 0.07709068, 'confidence': 0.13316707}","{'y': 0.8910277, 'x': 0.077864885, 'confidence': 0.08832532}","{'y': 0.8909713, 'x': 0.05135513, 'confidence': 0.092142336}","{'y': 0.9144972, 'x': 0.11645498, 'confidence': 0.05069827}","{'y': 0.9163668, 'x': 0.07869341, 'confidence': 0.07259666}"
"{'y': 0.7168455, 'x': 0.8958833, 'confidence': 0.2631851}","{'y': 0.70590645, 'x': 0.87808454, 'confidence': 0.24201873}","{'y': 0.7085736, 'x': 0.8812739, 'confidence': 0.21393456}","{'y': 0.7009774, 'x': 0.8587537, 'confidence': 0.31366336}","{'y': 0.70648694, 'x': 0.8615989, 'confidence': 0.3270835}","{'y': 0.7334592, 'x': 0.85259235, 'confidence': 0.28006604}","{'y': 0.7460645, 'x': 0.8574452, 'confidence': 0.3099371}","{'y': 0.8017126, 'x': 0.90813124, 'confidence': 0.19957748}","{'y': 0.810114, 'x': 0.91913843, 'confidence': 0.2451368}","{'y': 0.8301806, 'x': 0.9505241, 'confidence': 0.1674433}","{'y': 0.833975, 'x': 0.9494102, 'confidence': 0.25149143}","{'y': 0.84143907, 'x': 0.8758322, 'confidence': 0.16945513}","{'y': 0.8473204, 'x': 0.8977056, 'confidence': 0.22743537}","{'y': 0.9215151, 'x': 0.897772, 'confidence': 0.116071604}","{'y': 0.8958957, 'x': 0.9511145, 'confidence': 0.11474986}","{'y': 0.96590465, 'x': 0.9011238, 'confidence': 0.09341431}","{'y': 0.9648251, 'x': 0.9213082, 'confidence': 0.09151316}"
"{'y': 0.6862454, 'x': 0.11105618, 'confidence': 0.18190588}","{'y': 0.6761563, 'x': 0.11681064, 'confidence': 0.19523644}","{'y': 0.68608403, 'x': 0.10076339, 'confidence': 0.19373293}","{'y': 0.66989845, 'x': 0.11456228, 'confidence': 0.24449044}","{'y': 0.6761271, 'x': 0.1033812, 'confidence': 0.23206022}","{'y': 0.69885576, 'x': 0.08981741, 'confidence': 0.25360036}","{'y': 0.70340693, 'x': 0.087997526, 'confidence': 0.27442512}","{'y': 0.7548713, 'x': 0.09553708, 'confidence': 0.19221358}","{'y': 0.7570147, 'x': 0.092287526, 'confidence': 0.14935206}","{'y': 0.78519815, 'x': 0.09770791, 'confidence': 0.10588464}","{'y': 0.78700554, 'x': 0.09411697, 'confidence': 0.08279036}","{'y': 0.78589195, 'x': 0.0872706, 'confidence': 0.23357701}","{'y': 0.7884013, 'x': 0.0864176, 'confidence': 0.22686814}","{'y': 0.82174593, 'x': 0.0686792, 'confidence': 0.14198527}","{'y': 0.8249769, 'x': 0.07963321, 'confidence': 0.13699166}","{'y': 0.86294407, 'x': 0.041768614, 'confidence': 0.12070781}","{'y': 0.86282706, 'x': 0.037341252, 'confidence': 0.13596341}"
"{'y': 0.7273453, 'x': 0.08893258, 'confidence': 0.21797755}","{'y': 0.7242772, 'x': 0.07827259, 'confidence': 0.26473093}","{'y': 0.72530293, 'x': 0.07483466, 'confidence': 0.2400584}","{'y': 0.72579205, 'x': 0.09880125, 'confidence': 0.20573094}","{'y': 0.72932845, 'x': 0.076355346, 'confidence': 0.22049975}","{'y': 0.7538303, 'x': 0.09478269, 'confidence': 0.19640769}","{'y': 0.75953966, 'x': 0.07571418, 'confidence': 0.25423375}","{'y': 0.79528713, 'x': 0.0711814, 'confidence': 0.1551091}","{'y': 0.807806, 'x': 0.053913627, 'confidence': 0.2131466}","{'y': 0.8177773, 'x': 0.060378354, 'confidence': 0.15540338}","{'y': 0.81847787, 'x': 0.05495555, 'confidence': 0.1277263}","{'y': 0.82907736, 'x': 0.081163436, 'confidence': 0.16594072}","{'y': 0.8304807, 'x': 0.06332513, 'confidence': 0.2321115}","{'y': 0.86790746, 'x': 0.052030433, 'confidence': 0.12031652}","{'y': 0.8814119, 'x': 0.03879667, 'confidence': 0.15804902}","{'y': 0.91139835, 'x': 0.10714072, 'confidence': 0.07836841}","{'y': 0.8994696, 'x': 0.062426064, 'confidence': 0.11487697}"
"{'y': 0.7570196, 'x': 0.17355035, 'confidence': 0.22990178}","{'y': 0.7538372, 'x': 0.17267384, 'confidence': 0.20651989}","{'y': 0.7546842, 'x': 0.17172304, 'confidence': 0.21831232}","{'y': 0.7618031, 'x': 0.17511618, 'confidence': 0.22143617}","{'y': 0.7555851, 'x': 0.16764133, 'confidence': 0.24170433}","{'y': 0.78643304, 'x': 0.17421496, 'confidence': 0.22944164}","{'y': 0.7759042, 'x': 0.17316169, 'confidence': 0.23121609}","{'y': 0.8151054, 'x': 0.1780681, 'confidence': 0.18700607}","{'y': 0.80108106, 'x': 0.17472087, 'confidence': 0.21308173}","{'y': 0.82669806, 'x': 0.18252863, 'confidence': 0.162391}","{'y': 0.8239156, 'x': 0.18103014, 'confidence': 0.14063777}","{'y': 0.8374468, 'x': 0.17660926, 'confidence': 0.23871632}","{'y': 0.83633417, 'x': 0.1755169, 'confidence': 0.2200024}","{'y': 0.8713897, 'x': 0.17575273, 'confidence': 0.1682807}","{'y': 0.8715191, 'x': 0.172395, 'confidence': 0.17665002}","{'y': 0.90689635, 'x': 0.16342565, 'confidence': 0.09250698}","{'y': 0.90685636, 'x': 0.14872202, 'confidence': 0.08715086}"
"{'y': 0.69579244, 'x': 0.18070734, 'confidence': 0.41705114}","{'y': 0.6924221, 'x': 0.18242949, 'confidence': 0.40486205}","{'y': 0.6912767, 'x': 0.18122296, 'confidence': 0.3952684}","{'y': 0.6918342, 'x': 0.18283965, 'confidence': 0.4000224}","{'y': 0.68905336, 'x': 0.17912085, 'confidence': 0.35037464}","{'y': 0.7087302, 'x': 0.18033794, 'confidence': 0.27657315}","{'y': 0.701817, 'x': 0.17358722, 'confidence': 0.4141548}","{'y': 0.7674812, 'x': 0.15721384, 'confidence': 0.16749232}","{'y': 0.7754593, 'x': 0.09659327, 'confidence': 0.18628766}","{'y': 0.792449, 'x': 0.13372612, 'confidence': 0.109198116}","{'y': 0.8312681, 'x': 0.07335301, 'confidence': 0.13950674}","{'y': 0.7770544, 'x': 0.15835816, 'confidence': 0.21815577}","{'y': 0.7794376, 'x': 0.13479482, 'confidence': 0.20845796}","{'y': 0.84128505, 'x': 0.09602867, 'confidence': 0.1388458}","{'y': 0.84195155, 'x': 0.09326776, 'confidence': 0.15407977}","{'y': 0.8905664, 'x': 0.06591456, 'confidence': 0.13453853}","{'y': 0.8878076, 'x': 0.061368708, 'confidence': 0.14635189}"
